"Channel Name","Channel ID","Channel URL","Subscribers","Video Count","Specialty","Description","Date Added","State"
"The Heart Doctor","UCHxQT9aGvGBW5lh8n9sqeDA","https://www.youtube.com/@@theheartdoctor","33,500","82","cardiologist heart doctor","Dr Hafiz Naderi MD | Cardiologist | London, UK
MBBS BMedSci (Hons) MRCP PhD

Welcome to The Heart Doctor channel.

I'm a UK-based cardiologist working in the NHS, and I created this channel to make he","1/22/2026 16:48:04","Idaho"
"A HEART DOCTOR - AIIMS NEW DELHI","UCKqvbZTOgSWSPw41wjb53wg","https://www.youtube.com/@@aheartdoctor9477","9,040","440","cardiologist heart doctor","Dr Shivam Arora, DM Cardiology Aiims New Delhi
New video daily.
This page is for students who are preparing for NEET- PG, SS and FMGE.
I secured-
AIR 262 NEET UG 2014
AIR 9 NEET PG 2020
AIR 2 INI SS 2","1/22/2026 16:48:05","Wisconsin"
"Natural Heart Doctor","UCBQvyhPi2FG6S6cQC_mfrMQ","https://www.youtube.com/@@naturalheartdoctor","31,600","587","cardiologist heart doctor","The natural solution to your heart problems is here. Reduce pills, avoid surgery, and reverse heart disease.

I am Dr. Jack Wolfson, cardiologist and founder of Natural Heart Doctor. Mainstream medici","1/22/2026 16:48:06","Vermont"
"Dr. Pradip Jamnadas, MD","UCOtQHehGWtblMp1gZC8Kq3Q","https://www.youtube.com/@@pradipjamnadasmd","1,140,000","84","cardiologist heart doctor","Dr. Pradip Jamnadas, MD, MBBS, FACC, FSCAI, FCCP, FACP
The founder and Chief Medical Officer of Cardiovascular Interventions, P.A. in Orlando Florida where, since 1990,  he has been repeatedly recogni","1/22/2026 16:48:07","Florida"
"Heart Care | Dr. Richa Agrawal (Cardiologist)","UCZ0_iO8TQX3JgN_wKDt_noQ","https://www.youtube.com/@@drrichacardiologist","1,920","107","cardiologist heart doctor","Meet Dr. Richa Agrawal: Your Trusted Partner in Cardiac Care! With over 8 years of invaluable experience in cardiology, Dr. Agrawal has honed her skills in esteemed institutions like Max Hospital, Ram","1/22/2026 16:48:09","Arkansas"
"York Cardiology","UCxtbUzEzRpX1B9sGbRudG6g","https://www.youtube.com/@@yorkcardiology","525,000","532","cardiologist heart doctor","I am Dr Sanjay Gupta. I am a Consultant heart specialist in York, UK and I believe that high quality reliable jargon-free information about health should be available at no cost to everyone in the wor","1/22/2026 16:48:09","Maine"
"Dr Toishi Sharma - Interventional Cardiologist","UCJM5rPIy-qXvMU_ri66NVDw","https://www.youtube.com/@@drtoishisharma-interventio-k1u","1,120","72","cardiologist heart doctor","Dr. Toishi Sharma is a dedicated and experienced Interventional Cardiologist currently practicing at Self Regional HealthCare in South Carolina, USA. With a comprehensive medical education and trainin","1/22/2026 16:48:10","South Carolina"
"Dr. Sivakumar Cardiac Academy","UC2Vj_7heQg6Xj7pfyO9vqJw","https://www.youtube.com/@@dr.sivakumarcardiacacademy377","11,200","117","cardiologist heart doctor","","1/22/2026 16:48:11","West Virginia"
"SAAOL Heart Center","UCM5cdocmS8t-0EURE8uvadA","https://www.youtube.com/@@saaolheartcenterindia","4,680,000","1816","cardiologist heart doctor","We are India’s leading preventive and rehabilitative Heart Care Organization. Our vision is to provide the best quality healthcare to heart and lifestyle disease patients at the most affordable costs","1/22/2026 16:48:11","Wisconsin"
"Dr Ashish Shankhdhar Cardiologist","UCsu-qw7vcMO93MrLul1wkCA","https://www.youtube.com/@@drashishshankhdharcardiologist","1,430","70","cardiologist heart doctor","Welcome to Dr. Ashish Shankhdhar's Official YouTube Channel!

Dr. Ashish Shankhdhar is a leading Interventional Cardiologist based in Bareilly Uttar Pradesh, dedicated to advancing heart health throug","1/22/2026 16:48:12","Michigan"
"Dr. Toishi Sharma - Cardiologist (Hindi)","UCPjKqYd3jyMHMOpUVoSkD7A","https://www.youtube.com/@@dr.toishisharma-cardiologist","8,580","104","cardiologist heart doctor","Dr. Toishi Sharma is a dedicated and experienced Interventional Cardiologist currently practicing at Self Regional HealthCare in South Carolina, USA. With a comprehensive medical education and trainin","1/22/2026 16:48:16","South Carolina"
"Dr Nagendra Thalor MD medicine DM cardiology","UCV4zkdEZjuE7FAaVZU4kHgw","https://www.youtube.com/@@drnagendrathalorcardiology","806,000","748","cardiologist heart doctor","Dr Nagendra thalor Md medicine dM cardiology,
I did my mbbs from GMC Kota
MD in medicine from SPMC bikaner
DM cardiology from JIPMER Pondicherry 
Presently working as  interventional cardiologist at S","1/22/2026 16:48:17","Indiana"
"Heart Matters","UCVjOIb1dlPsAK8-ilrYxEyA","https://www.youtube.com/@@heartmatters","45,300","113","cardiologist heart doctor","A channel dedicated to talking ALL things heart health, hosted by Peter Barlis, Interventional Cardiologist & Professor of Medicine based in Melbourne, Australia. We take a holistic approach to heart","1/22/2026 16:48:19","South Carolina"
"Doctor Bolad Cardiology","UC9fHbikj3Qg86JfGb-0a16A","https://www.youtube.com/@@doctorboladcardiology","33,400","77","cardiologist heart doctor","Doctor Bolad is a triple board certified physician in the United States, certified in Cardiology, Interventional Cardiology and Internal Medicine. He is also triple board certified by the Royal Colleg","1/22/2026 16:48:20","Arkansas"
"Medlearn","UCZlsht40qcUJzkIsrD_eHzg","https://www.youtube.com/@@medlearn.academy","180,000","2475","cardiologist heart doctor","Join this channel to get access to All videos: 
https://www.youtube.com/channel/UCZlsht40qcUJzkIsrD_eHzg/join  
محاضرات باطنة اونلاين  
 محاضرات باطنة ورسم قلب و أشعة 
https://www.medlearn.academy/

I","1/22/2026 16:48:22","Nebraska"
"Dr Ashar Khan Interventional Cardiologist","UC0qUmG_9gg-x7RvTzVAmmdA","https://www.youtube.com/@@drasharkhaninterventionalc285","59,900","31","cardiologist heart doctor","In Nagpur, Dr. Ashar Khan is a top cardiologist known for his expertise. He's not just good with his work, but people trust him a lot because of his qualifications and experience. Dr. Khan has helped","1/22/2026 16:48:23","Louisiana"
"Dr. Zainulabedin Hamdulay - Cardiac Surgeon","UCMld5BhHdqee4adH4oglrHw","https://www.youtube.com/@@dr.zainulabedinhamdulay-ca6017","1,340","42","cardiologist heart doctor","This channel is created with an intention to create awareness about heart disease & new innovations in cardiac surgery.","1/22/2026 16:48:23","Maryland"
"Ipcard TV","UCzRGpL1gdBnPkJN-jD5npig","https://www.youtube.com/@@ipcardtv","8,180","99","cardiologist heart doctor","Welcome to Dr. AM Thirugnanam’s Cardio Masterclass, a leading platform dedicated to advancing knowledge in cardiology, heart health, and interventional procedures. Dr. AM Thirugnanam, one of the world","1/22/2026 16:48:25","New Jersey"
"Dr Vijayasarathy Cardiologist","UCfxA5NJ1aaTfTG_KeM3QgwQ","https://www.youtube.com/@@cumbumcardiaccare","62,300","116","cardiologist heart doctor","Welcome to Cumbum Cardiac Care – Your Trusted Health Companion

I’m Dr. Vijayasarathy, a heart specialist with over 10 years of experience in cardiology.
I run Cumbum Cardiac Care, a dedicated cardiac","1/22/2026 16:48:26","Connecticut"
"Cardiac Second Opinion","UCbCuJnHg7xin_iRTvLDmkDQ","https://www.youtube.com/@@cardiacsecondopinion2880","306,000","344","cardiologist heart doctor","Cardiac Second Opinion is a unique portal to dispense online medical opinion in the field of cardiac sciences. It stays true to the internationally accepted guidelines provided by organizations like t","1/22/2026 16:48:27","Wisconsin"
"Montgomery Heart & Wellness","UCOEQWbsZyc3ygIlRB5HQmqw","https://www.youtube.com/@@montgomeryheartwellness","100,000","712","cardiologist heart doctor","Are you tired of battling congestive heart failure or other chronic diseases? Searching for effective alternatives to medication? It's time to reclaim your health with Montgomery Heart & Wellness Cent","1/22/2026 16:48:28","New Hampshire"
"Doctor AFib","UCr-aKS4YGGC-yFDKNlo9vgQ","https://www.youtube.com/@@drafib","45,800","80","cardiologist heart doctor","Get your answers to everyday questions about living with atrial fibrillation here! Dr. Percy Francisco Morales is the creator of Dr. AFib. I am a Board Certified Cardiologist and Electrophysiologist w","1/22/2026 16:48:32","South Dakota"
"Dr. Muhammad Affan Qaiser","UCGFuoFuK0kRDkCRqY2KFPcg","https://www.youtube.com/@@affanqaiser","455,000","3259","cardiologist heart doctor","Dr. Affan Qaiser is a renowned Gastroenterologist and Transplant Hepatologist in Pakistan. He is currently serving as a Senior Consultant and Assistant Professor of Transplant Hepatology and Gastroent","1/22/2026 16:48:33","Mississippi"
"Dr. Shahid Iqbal Cardiologist","UCo82-gX7-PHiPTGIndJxbDw","https://www.youtube.com/@@drshahidiqbalcardiologist2025","1,170","177","cardiologist heart doctor","Welcome to Dr. Shahid Iqbal’s Official YouTube Channel
A Healthy Heart Promises a Healthy Life ❤️
Your trusted source for heart health awareness, prevention tips, and latest treatments in cardiology.","1/22/2026 16:48:36","Kentucky"
"Dr. Siddhartha Mani  HEART DISEASES & CARDIOLOGY","UCLbUDtYvTnSYTb0Gyvp7Cew","https://www.youtube.com/@@dr.siddharthamaniheartdise4372","8,280","80","cardiologist heart doctor","Dr. Siddhartha Mani is working as an Interventional Cardiologist in Kolkata the Department of Cardiology – Adult, at Rabindranath Tagore International Institute of Cardiac Sciences( 124, EM Bypass, Mu","1/22/2026 16:48:37","Wisconsin"
"The Skin Doctor","UCuqKC3UJ4ueDTAM9dTm3BlQ","https://www.youtube.com/@@theskindoctor13","120,000","34","dermatologist skin doctor","A Dermatologist speaking on social issues. Twitter account : twitter.com/theskindoctor13","1/22/2026 16:48:40","North Dakota"
"Doctorly","UCHCZnC9akNA9pBP7aJGNKdg","https://www.youtube.com/@@doctorly","3,490,000","486","dermatologist skin doctor","Evidenced-based skin care, dermatology, and medicine. Channel run by double Board-Certified Dermatologists with the goal of providing accurate, up-to-date information to our subscribers with full tran","1/22/2026 16:48:41","Ohio"
"Dr Dray","UCnxmUrGMtpQT844Yd_l7Zyg","https://www.youtube.com/@@drdrayzday","2,600,000","4805","dermatologist skin doctor","Hi and welcome to my channel!   I am a dermatologist and skin care enthusiast with a passion for skin care and a healthy lifestyle. Follow along with me on my Youtube journey.  Don't forget to sunscre","1/22/2026 16:48:42","Arkansas"
"Dr. Neera Nathan","UCmNSSliNq-oP91tkOuvS6dw","https://www.youtube.com/@@dermatologysurgeon","272,000","260","dermatologist skin doctor","Harvard-trained dermatologist & skin cancer surgeon
1.8M+ on social (Meta+TT)
This is my only official account","1/22/2026 16:48:43","Pennsylvania"
"Dr. Pimple Popper","UCgrsF4TYwmrV0QsXb8AoeHQ","https://www.youtube.com/@@drpimplepopper","9,060,000","3938","dermatologist skin doctor","Welcome to the world of Dr. Pimple Popper, the one and only Sandra Lee, MD! As a board certified dermatologist, skin cancer surgeon, and cosmetic surgeon, I am a highly sought-after  expert in the fie","1/22/2026 16:48:45","Colorado"
"Dr. Sarin","UCc34FvrsixVdHuvaipikMxA","https://www.youtube.com/@@sarinskin","837,000","1498","dermatologist skin doctor","Welcome To Sarin Skin Solutions Youtube Channel

We are dermatologists and hair transplant surgeons based in New Delhi. 

We have everything you need to know about skin care and hair transplant. We ar","1/22/2026 16:48:45","Utah"
"Dr. Mokanalakshmi dermatologist","UCIIg1fAUWcXs3CTU8StlNEA","https://www.youtube.com/@@dr.mokanalakshmidermatologist","411,000","139","dermatologist skin doctor","Welcome to Dr. Mokanalakshmi dermatologist – Expert Dermatology Tips from Prima Skin and Aesthetics clinic in Chennai!

Explore expert tips, treatment explanations, and skincare guidance from a truste","1/22/2026 16:48:46","California"
