id,created_at,doctor_name,video_url,subscriber_count,channel_id,video_count,specialty,description,timestamp
1,2026-03-27 03:07:32.297615+00,Natural Heart Doctor,https://www.youtube.com/@@naturalheartdoctor,34400,UCBQvyhPi2FG6S6cQC_mfrMQ,608,cardiologist heart doctor,"The natural solution to your heart problems is here. Reduce pills, avoid surgery, and reverse heart disease.

I am Dr. Jack Wolfson, cardiologist and founder of Natural Heart Doctor. Mainstream medici",2/25/2026 2:38
2,2026-03-27 03:07:32.297615+00,Dr. Muhammad Sohail HeartCare,https://www.youtube.com/@@sohailheartcare,18800,UC5sPHZ5nyVsOMPTqMvpKj_g,171,cardiologist heart doctor,"https://www.youtube.com/channel/UC5sPHZ5nyVsOMPTqMvpKj_g?sub_confirmation=1

Dr. Muhammad Sohail Heart Care
FCPS Cardiology
Consultant Cardiologist.

Welcome to Dr. Muhammad Sohail HeartCare, your tru",2/25/2026 2:38
3,2026-03-27 03:07:32.297615+00,"Dr. Pradip Jamnadas, MD",https://www.youtube.com/@@pradipjamnadasmd,1160000,UCOtQHehGWtblMp1gZC8Kq3Q,88,cardiologist heart doctor,"Dr. Pradip Jamnadas, MD, MBBS, FACC, FSCAI, FCCP, FACP
The founder and Chief Medical Officer of Cardiovascular Interventions, P.A. in Orlando Florida where, since 1990,  he has been repeatedly recogni",2/25/2026 2:38
4,2026-03-27 03:07:32.297615+00,Heart Care | Dr. Richa Agrawal (Cardiologist),https://www.youtube.com/@@drrichacardiologist,1930,UCZ0_iO8TQX3JgN_wKDt_noQ,107,cardiologist heart doctor,"Meet Dr. Richa Agrawal: Your Trusted Partner in Cardiac Care! With over 8 years of invaluable experience in cardiology, Dr. Agrawal has honed her skills in esteemed institutions like Max Hospital, Ram",2/25/2026 2:38
5,2026-03-27 03:07:32.297615+00,Dr. Sivakumar Cardiac Academy,https://www.youtube.com/@@dr.sivakumarcardiacacademy377,11300,UC2Vj_7heQg6Xj7pfyO9vqJw,117,cardiologist heart doctor,,2/25/2026 2:38
6,2026-03-27 03:07:32.297615+00,A HEART DOCTOR - AIIMS NEW DELHI,https://www.youtube.com/@@aheartdoctor9477,9050,UCKqvbZTOgSWSPw41wjb53wg,440,cardiologist heart doctor,"Dr Shivam Arora, DM Cardiology Aiims New Delhi
New video daily.
This page is for students who are preparing for NEET- PG, SS and FMGE.
I secured-
AIR 262 NEET UG 2014
AIR 9 NEET PG 2020
AIR 2 INI SS 2",2/25/2026 2:38
7,2026-03-27 03:07:32.297615+00,Dr Kondapaka Kiran cardiologist,https://www.youtube.com/@@drkondapakakirancardiologist,3350,UClTjRwKGV43nlOUMBQWW_YA,37,cardiologist heart doctor,"We are dedicated to providing exceptional cardiac care, focusing on your heart health and overall well-being. Led by Dr. Kondapaka Kiran Kumar, a highly experienced cardiologist with a commitment to c",2/25/2026 2:38
8,2026-03-27 03:07:32.297615+00,York Cardiology,https://www.youtube.com/@@yorkcardiology,529000,UCxtbUzEzRpX1B9sGbRudG6g,537,cardiologist heart doctor,"I am Dr Sanjay Gupta. I am a Consultant heart specialist in York, UK and I believe that high quality reliable jargon-free information about health should be available at no cost to everyone in the wor",2/25/2026 2:38
9,2026-03-27 03:07:32.297615+00,Dr. Aravind Duruvasal ,https://www.youtube.com/@@draravindduruvasal,192000,UCINPiLtKpWe_pkxYmyk0OnA,276,cardiologist heart doctor,,2/25/2026 2:38
10,2026-03-27 03:07:32.297615+00,Dr. Toishi Sharma - Cardiologist (Hindi),https://www.youtube.com/@@dr.toishisharma-cardiologist,9370,UCPjKqYd3jyMHMOpUVoSkD7A,107,cardiologist heart doctor,"Dr. Toishi Sharma is a dedicated and experienced Interventional Cardiologist currently practicing at Self Regional HealthCare in South Carolina, USA. With a comprehensive medical education and trainin",2/25/2026 2:38
11,2026-03-27 03:07:32.297615+00,Dr Vijayasarathy Cardiologist,https://www.youtube.com/@@cumbumcardiaccare,71600,UCfxA5NJ1aaTfTG_KeM3QgwQ,128,cardiologist heart doctor,"Welcome to Cumbum Cardiac Care – Your Trusted Health Companion

I’m Dr. Vijayasarathy, a heart specialist with over 10 years of experience in cardiology.
I run Cumbum Cardiac Care, a dedicated cardiac",2/25/2026 2:38
12,2026-03-27 03:07:32.297615+00,Dr Nagendra Thalor MD medicine DM cardiology,https://www.youtube.com/@@drnagendrathalorcardiology,807000,UCV4zkdEZjuE7FAaVZU4kHgw,748,cardiologist heart doctor,"Dr Nagendra thalor Md medicine dM cardiology,
I did my mbbs from GMC Kota
MD in medicine from SPMC bikaner
DM cardiology from JIPMER Pondicherry 
Presently working as  interventional cardiologist at S",2/25/2026 2:38
13,2026-03-27 03:07:32.297615+00,SAAOL Heart Center,https://www.youtube.com/@@saaolheartcenterindia,4690000,UCM5cdocmS8t-0EURE8uvadA,1842,cardiologist heart doctor,We are India’s leading preventive and rehabilitative Heart Care Organization. Our vision is to provide the best quality healthcare to heart and lifestyle disease patients at the most affordable costs ,2/25/2026 2:38
14,2026-03-27 03:07:32.297615+00,Heart Matters,https://www.youtube.com/@@heartmatters,46200,UCVjOIb1dlPsAK8-ilrYxEyA,113,cardiologist heart doctor,"A channel dedicated to talking ALL things heart health, hosted by Peter Barlis, Interventional Cardiologist & Professor of Medicine based in Melbourne, Australia. We take a holistic approach to heart ",2/25/2026 2:38
15,2026-03-27 03:07:32.297615+00,Dr Toishi Sharma - Interventional Cardiologist,https://www.youtube.com/@@drtoishisharma-interventio-k1u,1130,UCJM5rPIy-qXvMU_ri66NVDw,77,cardiologist heart doctor,"Dr. Toishi Sharma is a dedicated and experienced Interventional Cardiologist currently practicing at Self Regional HealthCare in South Carolina, USA. With a comprehensive medical education and trainin",2/25/2026 2:38
16,2026-03-27 03:07:32.297615+00,Medlearn,https://www.youtube.com/@@medlearn.academy,181000,UCZlsht40qcUJzkIsrD_eHzg,2771,cardiologist heart doctor,"Join this channel to get access to All videos: 
https://www.youtube.com/channel/UCZlsht40qcUJzkIsrD_eHzg/join  
محاضرات باطنة اونلاين  
 محاضرات باطنة ورسم قلب و أشعة 
https://www.medlearn.academy/

I",2/25/2026 2:38
17,2026-03-27 03:07:32.297615+00,I Fix Hearts by Dr. Ovadia,https://www.youtube.com/@@ifixhearts,46500,UCu8xppo0Y7mJz4uqkc7o7TQ,1035,cardiologist heart doctor,"Meet Dr. Philip Ovadia – Heart Surgeon Turned Metabolic Health Advocate

Dr. Philip Ovadia is a board-certified cardiac surgeon who’s performed over 3,000 heart surgeries—but his mission today is to k",2/25/2026 2:38
18,2026-03-27 03:07:32.297615+00,Dr Ashish Shankhdhar Cardiologist ,https://www.youtube.com/@@drashishshankhdharcardiologist,1670,UCsu-qw7vcMO93MrLul1wkCA,78,cardiologist heart doctor,"Welcome to Dr. Ashish Shankhdhar's Official YouTube Channel!

Dr. Ashish Shankhdhar is a leading Interventional Cardiologist based in Bareilly Uttar Pradesh, dedicated to advancing heart health throug",2/25/2026 2:38
19,2026-03-27 03:07:32.297615+00,Dr. Zainulabedin Hamdulay - Cardiac Surgeon,https://www.youtube.com/@@dr.zainulabedinhamdulay-ca6017,1340,UCMld5BhHdqee4adH4oglrHw,44,cardiologist heart doctor,This channel is created with an intention to create awareness about heart disease & new innovations in cardiac surgery.,2/25/2026 2:38
20,2026-03-27 03:07:32.297615+00,Dr. Shahid Iqbal Cardiologist,https://www.youtube.com/@@drshahidiqbalcardiologist2025,1220,UCo82-gX7-PHiPTGIndJxbDw,212,cardiologist heart doctor,"Welcome to Dr. Shahid Iqbal’s Official YouTube Channel
A Healthy Heart Promises a Healthy Life ❤️
Your trusted source for heart health awareness, prevention tips, and latest treatments in cardiology.
",2/25/2026 2:38
21,2026-03-27 03:07:32.297615+00,Doctor Bolad Cardiology,https://www.youtube.com/@@doctorboladcardiology,33700,UC9fHbikj3Qg86JfGb-0a16A,77,cardiologist heart doctor,"Doctor Bolad is a triple board certified physician in the United States, certified in Cardiology, Interventional Cardiology and Internal Medicine. He is also triple board certified by the Royal Colleg",2/25/2026 2:38
22,2026-03-27 03:07:32.297615+00,Dr Sudheer Koganti,https://www.youtube.com/@@drsudheerkoganti,45200,UCGALtzuwYQqy-gaRcLZV6_g,171,cardiologist heart doctor,"Welcome to Dr. Sudheer Koganti's Channel! 🫀 

Meet Dr. Sudheer Koganti, a renowned cardiologist in Hyderabad, India, with a profound passion for heart health and extensive experience. Our channel is ",2/25/2026 2:38
23,2026-03-27 03:07:32.297615+00,Dr Ashar Khan Interventional Cardiologist,https://www.youtube.com/@@drasharkhaninterventionalc285,60500,UC0qUmG_9gg-x7RvTzVAmmdA,35,cardiologist heart doctor,"In Nagpur, Dr. Ashar Khan is a top cardiologist known for his expertise. He's not just good with his work, but people trust him a lot because of his qualifications and experience. Dr. Khan has helped ",2/25/2026 2:38
