doctor_name,channel_id,video_url,subscriber_count,video_count,specialty,description,timestamp
Natural Heart Doctor,UCBQvyhPi2FG6S6cQC_mfrMQ,https://www.youtube.com/@@naturalheartdoctor,34400,608,cardiologist heart doctor,"The natural solution to your heart problems is here. Reduce pills, avoid surgery, and reverse heart disease.

I am Dr. Jack Wolfson, cardiologist and founder of Natural Heart Doctor. Mainstream medici",2/25/2026 2:38:13
Dr. Muhammad Sohail HeartCare,UC5sPHZ5nyVsOMPTqMvpKj_g,https://www.youtube.com/@@sohailheartcare,18800,171,cardiologist heart doctor,"https://www.youtube.com/channel/UC5sPHZ5nyVsOMPTqMvpKj_g?sub_confirmation=1

Dr. Muhammad Sohail Heart Care
FCPS Cardiology
Consultant Cardiologist.

Welcome to Dr. Muhammad Sohail HeartCare, your tru",2/25/2026 2:38:15
"Dr. Pradip Jamnadas, MD",UCOtQHehGWtblMp1gZC8Kq3Q,https://www.youtube.com/@@pradipjamnadasmd,1160000,88,cardiologist heart doctor,"Dr. Pradip Jamnadas, MD, MBBS, FACC, FSCAI, FCCP, FACP
The founder and Chief Medical Officer of Cardiovascular Interventions, P.A. in Orlando Florida where, since 1990,  he has been repeatedly recogni",2/25/2026 2:38:16
Heart Care | Dr. Richa Agrawal (Cardiologist),UCZ0_iO8TQX3JgN_wKDt_noQ,https://www.youtube.com/@@drrichacardiologist,1930,107,cardiologist heart doctor,"Meet Dr. Richa Agrawal: Your Trusted Partner in Cardiac Care! With over 8 years of invaluable experience in cardiology, Dr. Agrawal has honed her skills in esteemed institutions like Max Hospital, Ram",2/25/2026 2:38:17
Dr. Sivakumar Cardiac Academy,UC2Vj_7heQg6Xj7pfyO9vqJw,https://www.youtube.com/@@dr.sivakumarcardiacacademy377,11300,117,cardiologist heart doctor,,2/25/2026 2:38:18
A HEART DOCTOR - AIIMS NEW DELHI,UCKqvbZTOgSWSPw41wjb53wg,https://www.youtube.com/@@aheartdoctor9477,9050,440,cardiologist heart doctor,"Dr Shivam Arora, DM Cardiology Aiims New Delhi
New video daily.
This page is for students who are preparing for NEET- PG, SS and FMGE.
I secured-
AIR 262 NEET UG 2014
AIR 9 NEET PG 2020
AIR 2 INI SS 2",2/25/2026 2:38:19
Dr Kondapaka Kiran cardiologist,UClTjRwKGV43nlOUMBQWW_YA,https://www.youtube.com/@@drkondapakakirancardiologist,3350,37,cardiologist heart doctor,"We are dedicated to providing exceptional cardiac care, focusing on your heart health and overall well-being. Led by Dr. Kondapaka Kiran Kumar, a highly experienced cardiologist with a commitment to c",2/25/2026 2:38:21
York Cardiology,UCxtbUzEzRpX1B9sGbRudG6g,https://www.youtube.com/@@yorkcardiology,529000,537,cardiologist heart doctor,"I am Dr Sanjay Gupta. I am a Consultant heart specialist in York, UK and I believe that high quality reliable jargon-free information about health should be available at no cost to everyone in the wor",2/25/2026 2:38:23
Dr. Aravind Duruvasal ,UCINPiLtKpWe_pkxYmyk0OnA,https://www.youtube.com/@@draravindduruvasal,192000,276,cardiologist heart doctor,,2/25/2026 2:38:24
Dr. Toishi Sharma - Cardiologist (Hindi),UCPjKqYd3jyMHMOpUVoSkD7A,https://www.youtube.com/@@dr.toishisharma-cardiologist,9370,107,cardiologist heart doctor,"Dr. Toishi Sharma is a dedicated and experienced Interventional Cardiologist currently practicing at Self Regional HealthCare in South Carolina, USA. With a comprehensive medical education and trainin",2/25/2026 2:38:25
